Genetic Sudoku Experiment
Experiment Time: 23/06/2016 17:37:11
Expirement Parameters:,
Orginal Empty Cells:,55,
Population Size:,100,
Max Generations:,50,
Crossover Probability:,0.0,
Mutation Probability:,0.8,
Percent of good indviduals from population:,0.5,
,
Primitive Set:,
Plus,Minus,Multi,div,Mod,Maximum,Minimum,
Terminal Set:,
countEmptyCellInRow,countEmptyCellInCol,countEmptyCellInSquare,NumOfOptionsInCell,numOfOptionsToAppearInBoard,countEmptyCellsInRowsContainsNum,countEmptyCellsInColsContainsNum,countEmptyCellsInSquareContainsNum,countEmptyCellsInRows_ThatNotContainsNum,countEmptyCellsInCols_ThatNotContainsNum,countEmptyCellsInSquare_ThatNotContainsNum,
,
,
Generation,Worst Individual Fitness,Best Individual Fitness,Average Fitness,Best Individual Tree - Prefix,Best Individual Tree - Infix,
10,21.0,4.0,12.34,Minus( div( Multi( Multi( Mod( countEmptyCellsInColsContainsNum  countEmptyCellsInSquareContainsNum )  Mod( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellsInColsContainsNum ) )  Minimum( Minus( countEmptyCellsInSquareContainsNum  NumOfOptionsInCell )  Mod( countEmptyCellsInColsContainsNum  NumOfOptionsInCell ) ) )  Plus( Multi( Mod( NumOfOptionsInCell  countEmptyCellsInSquare_ThatNotContainsNum )  Plus( countEmptyCellsInColsContainsNum  countEmptyCellsInSquare_ThatNotContainsNum ) )  Multi( Minus( countEmptyCellInRow  countEmptyCellsInColsContainsNum )  Multi( NumOfOptionsInCell  countEmptyCellsInRowsContainsNum ) ) ) )  Maximum( Multi( div( Mod( countEmptyCellInRow  countEmptyCellsInSquareContainsNum )  Multi( countEmptyCellInCol  countEmptyCellInSquare ) )  Minus( Minimum( numOfOptionsToAppearInBoard  countEmptyCellsInSquare_ThatNotContainsNum )  Minimum( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInColsContainsNum ) ) )  Minus( Plus( Plus( countEmptyCellInRow  NumOfOptionsInCell )  Multi( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum ) )  Minimum( div( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Plus( numOfOptionsToAppearInBoard  countEmptyCellsInColsContainsNum ) ) ) ) ),((((( countEmptyCellsInColsContainsNum  %  countEmptyCellsInSquareContainsNum ) * ( countEmptyCellsInCols_ThatNotContainsNum  %  countEmptyCellsInColsContainsNum )) * (( countEmptyCellsInSquareContainsNum  -  NumOfOptionsInCell ) Min ( countEmptyCellsInColsContainsNum  %  NumOfOptionsInCell ))) / ((( NumOfOptionsInCell  %  countEmptyCellsInSquare_ThatNotContainsNum ) * ( countEmptyCellsInColsContainsNum  +  countEmptyCellsInSquare_ThatNotContainsNum )) + (( countEmptyCellInRow  -  countEmptyCellsInColsContainsNum ) * ( NumOfOptionsInCell  *  countEmptyCellsInRowsContainsNum )))) - (((( countEmptyCellInRow  %  countEmptyCellsInSquareContainsNum ) / ( countEmptyCellInCol  *  countEmptyCellInSquare )) * (( numOfOptionsToAppearInBoard  Min  countEmptyCellsInSquare_ThatNotContainsNum ) - ( countEmptyCellsInSquare_ThatNotContainsNum  Min  countEmptyCellsInColsContainsNum ))) Max ((( countEmptyCellInRow  +  NumOfOptionsInCell ) + ( NumOfOptionsInCell  *  countEmptyCellsInCols_ThatNotContainsNum )) - (( NumOfOptionsInCell  /  countEmptyCellsInSquareContainsNum ) Min ( numOfOptionsToAppearInBoard  +  countEmptyCellsInColsContainsNum ))))),
11,20.0,2.0,12.25,Maximum( Maximum( Plus( Mod( div( countEmptyCellInSquare  numOfOptionsToAppearInBoard )  Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInColsContainsNum ) )  div( Minimum( countEmptyCellInRow  countEmptyCellsInRowsContainsNum )  Multi( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) ) )  Multi( Plus( Minimum( countEmptyCellsInRowsContainsNum  countEmptyCellsInColsContainsNum )  Minimum( countEmptyCellsInColsContainsNum  countEmptyCellsInCols_ThatNotContainsNum ) )  Plus( div( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Minimum( NumOfOptionsInCell  countEmptyCellInSquare ) ) ) )  Minus( Maximum( Plus( Minimum( countEmptyCellInSquare  countEmptyCellsInSquare_ThatNotContainsNum )  Minus( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) )  Maximum( Minus( countEmptyCellInCol  NumOfOptionsInCell )  Plus( countEmptyCellInRow  numOfOptionsToAppearInBoard ) ) )  Mod( Maximum( Mod( countEmptyCellInRow  countEmptyCellInCol )  Minimum( countEmptyCellInRow  countEmptyCellInCol ) )  Multi( Minus( countEmptyCellInCol  countEmptyCellsInRowsContainsNum )  Multi( countEmptyCellsInColsContainsNum  countEmptyCellInSquare ) ) ) ) ),((((( countEmptyCellInSquare  /  numOfOptionsToAppearInBoard ) % ( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInColsContainsNum )) + (( countEmptyCellInRow  Min  countEmptyCellsInRowsContainsNum ) / ( countEmptyCellsInCols_ThatNotContainsNum  *  NumOfOptionsInCell ))) Max ((( countEmptyCellsInRowsContainsNum  Min  countEmptyCellsInColsContainsNum ) + ( countEmptyCellsInColsContainsNum  Min  countEmptyCellsInCols_ThatNotContainsNum )) * (( NumOfOptionsInCell  /  countEmptyCellsInSquareContainsNum ) + ( NumOfOptionsInCell  Min  countEmptyCellInSquare )))) Max (((( countEmptyCellInSquare  Min  countEmptyCellsInSquare_ThatNotContainsNum ) + ( countEmptyCellsInCols_ThatNotContainsNum  -  NumOfOptionsInCell )) Max (( countEmptyCellInCol  -  NumOfOptionsInCell ) Max ( countEmptyCellInRow  +  numOfOptionsToAppearInBoard ))) - ((( countEmptyCellInRow  %  countEmptyCellInCol ) Max ( countEmptyCellInRow  Min  countEmptyCellInCol )) % (( countEmptyCellInCol  -  countEmptyCellsInRowsContainsNum ) * ( countEmptyCellsInColsContainsNum  *  countEmptyCellInSquare ))))),
12,19.0,2.0,12.11,Maximum( Maximum( Plus( Mod( div( countEmptyCellInSquare  numOfOptionsToAppearInBoard )  Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInColsContainsNum ) )  div( Minimum( countEmptyCellInRow  countEmptyCellsInRowsContainsNum )  Multi( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) ) )  Multi( Plus( Minimum( countEmptyCellsInRowsContainsNum  countEmptyCellsInColsContainsNum )  Minimum( countEmptyCellsInColsContainsNum  countEmptyCellsInCols_ThatNotContainsNum ) )  Plus( div( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Minimum( NumOfOptionsInCell  countEmptyCellInSquare ) ) ) )  Minus( Maximum( Plus( Minimum( countEmptyCellInSquare  countEmptyCellsInSquare_ThatNotContainsNum )  Minus( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) )  div( Minimum( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Plus( countEmptyCellsInRowsContainsNum  countEmptyCellInSquare ) ) )  Mod( Maximum( Mod( countEmptyCellInRow  countEmptyCellInCol )  Minimum( countEmptyCellInRow  countEmptyCellInCol ) )  Multi( Minus( countEmptyCellInCol  countEmptyCellsInRowsContainsNum )  Multi( countEmptyCellsInColsContainsNum  countEmptyCellInSquare ) ) ) ) ),((((( countEmptyCellInSquare  /  numOfOptionsToAppearInBoard ) % ( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInColsContainsNum )) + (( countEmptyCellInRow  Min  countEmptyCellsInRowsContainsNum ) / ( countEmptyCellsInCols_ThatNotContainsNum  *  NumOfOptionsInCell ))) Max ((( countEmptyCellsInRowsContainsNum  Min  countEmptyCellsInColsContainsNum ) + ( countEmptyCellsInColsContainsNum  Min  countEmptyCellsInCols_ThatNotContainsNum )) * (( NumOfOptionsInCell  /  countEmptyCellsInSquareContainsNum ) + ( NumOfOptionsInCell  Min  countEmptyCellInSquare )))) Max (((( countEmptyCellInSquare  Min  countEmptyCellsInSquare_ThatNotContainsNum ) + ( countEmptyCellsInCols_ThatNotContainsNum  -  NumOfOptionsInCell )) Max (( countEmptyCellsInColsContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum ) / ( countEmptyCellsInRowsContainsNum  +  countEmptyCellInSquare ))) - ((( countEmptyCellInRow  %  countEmptyCellInCol ) Max ( countEmptyCellInRow  Min  countEmptyCellInCol )) % (( countEmptyCellInCol  -  countEmptyCellsInRowsContainsNum ) * ( countEmptyCellsInColsContainsNum  *  countEmptyCellInSquare ))))),
13,20.0,2.0,12.14,Maximum( Maximum( Plus( Mod( div( countEmptyCellInSquare  numOfOptionsToAppearInBoard )  Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInColsContainsNum ) )  div( Minimum( countEmptyCellInRow  countEmptyCellsInRowsContainsNum )  Multi( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) ) )  Multi( Plus( Minimum( countEmptyCellsInRowsContainsNum  countEmptyCellsInColsContainsNum )  Minimum( countEmptyCellsInColsContainsNum  countEmptyCellsInCols_ThatNotContainsNum ) )  Plus( div( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Minimum( NumOfOptionsInCell  countEmptyCellInSquare ) ) ) )  Minus( Maximum( Plus( Minimum( countEmptyCellInSquare  countEmptyCellsInSquare_ThatNotContainsNum )  Minus( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) )  div( Minimum( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Plus( countEmptyCellsInRowsContainsNum  countEmptyCellInSquare ) ) )  Mod( Maximum( Mod( countEmptyCellInRow  countEmptyCellInCol )  Minimum( countEmptyCellInRow  countEmptyCellInCol ) )  Multi( Minus( countEmptyCellInCol  countEmptyCellsInRowsContainsNum )  Multi( countEmptyCellsInColsContainsNum  countEmptyCellInSquare ) ) ) ) ),((((( countEmptyCellInSquare  /  numOfOptionsToAppearInBoard ) % ( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInColsContainsNum )) + (( countEmptyCellInRow  Min  countEmptyCellsInRowsContainsNum ) / ( countEmptyCellsInCols_ThatNotContainsNum  *  NumOfOptionsInCell ))) Max ((( countEmptyCellsInRowsContainsNum  Min  countEmptyCellsInColsContainsNum ) + ( countEmptyCellsInColsContainsNum  Min  countEmptyCellsInCols_ThatNotContainsNum )) * (( NumOfOptionsInCell  /  countEmptyCellsInSquareContainsNum ) + ( NumOfOptionsInCell  Min  countEmptyCellInSquare )))) Max (((( countEmptyCellInSquare  Min  countEmptyCellsInSquare_ThatNotContainsNum ) + ( countEmptyCellsInCols_ThatNotContainsNum  -  NumOfOptionsInCell )) Max (( countEmptyCellsInColsContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum ) / ( countEmptyCellsInRowsContainsNum  +  countEmptyCellInSquare ))) - ((( countEmptyCellInRow  %  countEmptyCellInCol ) Max ( countEmptyCellInRow  Min  countEmptyCellInCol )) % (( countEmptyCellInCol  -  countEmptyCellsInRowsContainsNum ) * ( countEmptyCellsInColsContainsNum  *  countEmptyCellInSquare ))))),
14,19.0,2.0,11.88,Multi( Plus( Multi( div( Multi( countEmptyCellInCol  countEmptyCellsInColsContainsNum )  Plus( numOfOptionsToAppearInBoard  countEmptyCellInSquare ) )  Minimum( Maximum( numOfOptionsToAppearInBoard  countEmptyCellsInRows_ThatNotContainsNum )  Multi( countEmptyCellsInSquareContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) ) )  Plus( Plus( div( countEmptyCellInRow  countEmptyCellsInSquareContainsNum )  Minus( NumOfOptionsInCell  countEmptyCellsInSquare_ThatNotContainsNum ) )  Mod( Minus( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Maximum( countEmptyCellsInSquareContainsNum  numOfOptionsToAppearInBoard ) ) ) )  Maximum( div( Minimum( div( countEmptyCellInCol  countEmptyCellInSquare )  Mod( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInSquare ) )  Plus( Mod( countEmptyCellInSquare  countEmptyCellsInRowsContainsNum )  Mod( countEmptyCellsInColsContainsNum  countEmptyCellInRow ) ) )  Maximum( Mod( Mod( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard )  div( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell ) )  Multi( Plus( NumOfOptionsInCell  countEmptyCellInSquare )  Multi( countEmptyCellInCol  NumOfOptionsInCell ) ) ) ) ),((((( countEmptyCellInCol  *  countEmptyCellsInColsContainsNum ) / ( numOfOptionsToAppearInBoard  +  countEmptyCellInSquare )) * (( numOfOptionsToAppearInBoard  Max  countEmptyCellsInRows_ThatNotContainsNum ) Min ( countEmptyCellsInSquareContainsNum  *  countEmptyCellsInRows_ThatNotContainsNum ))) + ((( countEmptyCellInRow  /  countEmptyCellsInSquareContainsNum ) + ( NumOfOptionsInCell  -  countEmptyCellsInSquare_ThatNotContainsNum )) + (( countEmptyCellsInRows_ThatNotContainsNum  -  countEmptyCellsInRowsContainsNum ) % ( countEmptyCellsInSquareContainsNum  Max  numOfOptionsToAppearInBoard )))) * (((( countEmptyCellInCol  /  countEmptyCellInSquare ) Min ( countEmptyCellsInCols_ThatNotContainsNum  %  countEmptyCellInSquare )) / (( countEmptyCellInSquare  %  countEmptyCellsInRowsContainsNum ) + ( countEmptyCellsInColsContainsNum  %  countEmptyCellInRow ))) Max ((( countEmptyCellsInCols_ThatNotContainsNum  %  numOfOptionsToAppearInBoard ) % ( countEmptyCellsInRows_ThatNotContainsNum  /  NumOfOptionsInCell )) Max (( NumOfOptionsInCell  +  countEmptyCellInSquare ) * ( countEmptyCellInCol  *  NumOfOptionsInCell ))))),
15,20.0,3.0,12.12,Maximum( Maximum( Plus( Mod( Mod( countEmptyCellsInRowsContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Plus( countEmptyCellsInSquareContainsNum  countEmptyCellsInColsContainsNum ) )  div( Minimum( countEmptyCellInRow  countEmptyCellsInRowsContainsNum )  Multi( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) ) )  Multi( Plus( Minimum( countEmptyCellsInRowsContainsNum  countEmptyCellsInColsContainsNum )  Minimum( countEmptyCellsInColsContainsNum  countEmptyCellsInCols_ThatNotContainsNum ) )  Plus( div( NumOfOptionsInCell  countEmptyCellsInSquareContainsNum )  Minimum( NumOfOptionsInCell  countEmptyCellInSquare ) ) ) )  Minus( Maximum( Plus( Minimum( countEmptyCellInSquare  countEmptyCellsInSquare_ThatNotContainsNum )  Minus( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) )  div( Minimum( countEmptyCellsInColsContainsNum  countEmptyCellsInRows_ThatNotContainsNum )  Plus( countEmptyCellsInRowsContainsNum  countEmptyCellInSquare ) ) )  Minus( Maximum( div( countEmptyCellInRow  countEmptyCellsInCols_ThatNotContainsNum )  Mod( countEmptyCellInRow  NumOfOptionsInCell ) )  Plus( Minimum( countEmptyCellInRow  countEmptyCellsInSquareContainsNum )  Minimum( countEmptyCellInCol  countEmptyCellsInSquareContainsNum ) ) ) ) ),((((( countEmptyCellsInRowsContainsNum  %  countEmptyCellsInRows_ThatNotContainsNum ) % ( countEmptyCellsInSquareContainsNum  +  countEmptyCellsInColsContainsNum )) + (( countEmptyCellInRow  Min  countEmptyCellsInRowsContainsNum ) / ( countEmptyCellsInCols_ThatNotContainsNum  *  NumOfOptionsInCell ))) Max ((( countEmptyCellsInRowsContainsNum  Min  countEmptyCellsInColsContainsNum ) + ( countEmptyCellsInColsContainsNum  Min  countEmptyCellsInCols_ThatNotContainsNum )) * (( NumOfOptionsInCell  /  countEmptyCellsInSquareContainsNum ) + ( NumOfOptionsInCell  Min  countEmptyCellInSquare )))) Max (((( countEmptyCellInSquare  Min  countEmptyCellsInSquare_ThatNotContainsNum ) + ( countEmptyCellsInCols_ThatNotContainsNum  -  NumOfOptionsInCell )) Max (( countEmptyCellsInColsContainsNum  Min  countEmptyCellsInRows_ThatNotContainsNum ) / ( countEmptyCellsInRowsContainsNum  +  countEmptyCellInSquare ))) - ((( countEmptyCellInRow  /  countEmptyCellsInCols_ThatNotContainsNum ) Max ( countEmptyCellInRow  %  NumOfOptionsInCell )) - (( countEmptyCellInRow  Min  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellInCol  Min  countEmptyCellsInSquareContainsNum ))))),
16,21.0,4.0,12.0,Multi( Plus( Multi( div( Multi( countEmptyCellInCol  countEmptyCellsInColsContainsNum )  Plus( numOfOptionsToAppearInBoard  countEmptyCellInSquare ) )  Minimum( Maximum( numOfOptionsToAppearInBoard  countEmptyCellsInRows_ThatNotContainsNum )  Multi( countEmptyCellsInSquareContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) ) )  Plus( Plus( div( countEmptyCellInRow  countEmptyCellsInSquareContainsNum )  div( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellInRow ) )  Mod( Minus( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Maximum( countEmptyCellsInSquareContainsNum  numOfOptionsToAppearInBoard ) ) ) )  Maximum( div( Minimum( div( countEmptyCellInCol  countEmptyCellInSquare )  Mod( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInSquare ) )  Plus( Mod( countEmptyCellInSquare  countEmptyCellsInRowsContainsNum )  Mod( countEmptyCellsInColsContainsNum  countEmptyCellInRow ) ) )  Maximum( Mod( Mod( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard )  div( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell ) )  Multi( Plus( NumOfOptionsInCell  countEmptyCellInSquare )  Multi( countEmptyCellInCol  NumOfOptionsInCell ) ) ) ) ),((((( countEmptyCellInCol  *  countEmptyCellsInColsContainsNum ) / ( numOfOptionsToAppearInBoard  +  countEmptyCellInSquare )) * (( numOfOptionsToAppearInBoard  Max  countEmptyCellsInRows_ThatNotContainsNum ) Min ( countEmptyCellsInSquareContainsNum  *  countEmptyCellsInRows_ThatNotContainsNum ))) + ((( countEmptyCellInRow  /  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellsInRows_ThatNotContainsNum  /  countEmptyCellInRow )) + (( countEmptyCellsInRows_ThatNotContainsNum  -  countEmptyCellsInRowsContainsNum ) % ( countEmptyCellsInSquareContainsNum  Max  numOfOptionsToAppearInBoard )))) * (((( countEmptyCellInCol  /  countEmptyCellInSquare ) Min ( countEmptyCellsInCols_ThatNotContainsNum  %  countEmptyCellInSquare )) / (( countEmptyCellInSquare  %  countEmptyCellsInRowsContainsNum ) + ( countEmptyCellsInColsContainsNum  %  countEmptyCellInRow ))) Max ((( countEmptyCellsInCols_ThatNotContainsNum  %  numOfOptionsToAppearInBoard ) % ( countEmptyCellsInRows_ThatNotContainsNum  /  NumOfOptionsInCell )) Max (( NumOfOptionsInCell  +  countEmptyCellInSquare ) * ( countEmptyCellInCol  *  NumOfOptionsInCell ))))),
17,19.0,3.0,11.83,Minus( Maximum( Minimum( Maximum( div( countEmptyCellsInRowsContainsNum  countEmptyCellInSquare )  Minus( countEmptyCellInRow  countEmptyCellsInSquareContainsNum ) )  Minimum( Plus( countEmptyCellInRow  numOfOptionsToAppearInBoard )  Mod( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum ) ) )  Maximum( Minus( Maximum( numOfOptionsToAppearInBoard  countEmptyCellsInRows_ThatNotContainsNum )  Mod( countEmptyCellsInRowsContainsNum  countEmptyCellsInRowsContainsNum ) )  Multi( div( countEmptyCellsInColsContainsNum  countEmptyCellsInColsContainsNum )  Maximum( countEmptyCellsInRowsContainsNum  NumOfOptionsInCell ) ) ) )  Maximum( Multi( div( Mod( countEmptyCellInRow  countEmptyCellsInSquareContainsNum )  Multi( countEmptyCellInCol  countEmptyCellInSquare ) )  Minus( Minimum( numOfOptionsToAppearInBoard  countEmptyCellsInSquare_ThatNotContainsNum )  Minimum( countEmptyCellsInSquare_ThatNotContainsNum  countEmptyCellsInColsContainsNum ) ) )  Minus( Plus( Plus( countEmptyCellInRow  NumOfOptionsInCell )  Multi( NumOfOptionsInCell  countEmptyCellsInCols_ThatNotContainsNum ) )  Minus( div( countEmptyCellInSquare  countEmptyCellsInRowsContainsNum )  Plus( numOfOptionsToAppearInBoard  countEmptyCellInSquare ) ) ) ) ),((((( countEmptyCellsInRowsContainsNum  /  countEmptyCellInSquare ) Max ( countEmptyCellInRow  -  countEmptyCellsInSquareContainsNum )) Min (( countEmptyCellInRow  +  numOfOptionsToAppearInBoard ) Min ( NumOfOptionsInCell  %  countEmptyCellsInCols_ThatNotContainsNum ))) Max ((( numOfOptionsToAppearInBoard  Max  countEmptyCellsInRows_ThatNotContainsNum ) - ( countEmptyCellsInRowsContainsNum  %  countEmptyCellsInRowsContainsNum )) Max (( countEmptyCellsInColsContainsNum  /  countEmptyCellsInColsContainsNum ) * ( countEmptyCellsInRowsContainsNum  Max  NumOfOptionsInCell )))) - (((( countEmptyCellInRow  %  countEmptyCellsInSquareContainsNum ) / ( countEmptyCellInCol  *  countEmptyCellInSquare )) * (( numOfOptionsToAppearInBoard  Min  countEmptyCellsInSquare_ThatNotContainsNum ) - ( countEmptyCellsInSquare_ThatNotContainsNum  Min  countEmptyCellsInColsContainsNum ))) Max ((( countEmptyCellInRow  +  NumOfOptionsInCell ) + ( NumOfOptionsInCell  *  countEmptyCellsInCols_ThatNotContainsNum )) - (( countEmptyCellInSquare  /  countEmptyCellsInRowsContainsNum ) - ( numOfOptionsToAppearInBoard  +  countEmptyCellInSquare ))))),
18,20.0,6.0,12.1,Multi( Plus( Multi( div( Multi( countEmptyCellInCol  countEmptyCellsInColsContainsNum )  Plus( numOfOptionsToAppearInBoard  countEmptyCellInSquare ) )  Minimum( Maximum( numOfOptionsToAppearInBoard  countEmptyCellsInRows_ThatNotContainsNum )  Multi( countEmptyCellsInSquareContainsNum  countEmptyCellsInRows_ThatNotContainsNum ) ) )  Plus( Plus( div( countEmptyCellInRow  countEmptyCellsInSquareContainsNum )  div( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellInRow ) )  Mod( Minus( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInRowsContainsNum )  Maximum( countEmptyCellsInSquareContainsNum  numOfOptionsToAppearInBoard ) ) ) )  Maximum( Minus( Multi( Minus( countEmptyCellInCol  countEmptyCellsInRowsContainsNum )  Minimum( countEmptyCellsInCols_ThatNotContainsNum  countEmptyCellInRow ) )  Minus( Plus( countEmptyCellsInColsContainsNum  countEmptyCellInCol )  Mod( countEmptyCellInRow  numOfOptionsToAppearInBoard ) ) )  Maximum( Mod( Mod( countEmptyCellsInCols_ThatNotContainsNum  numOfOptionsToAppearInBoard )  div( countEmptyCellsInRows_ThatNotContainsNum  NumOfOptionsInCell ) )  Multi( Plus( NumOfOptionsInCell  countEmptyCellInSquare )  Multi( countEmptyCellInCol  NumOfOptionsInCell ) ) ) ) ),((((( countEmptyCellInCol  *  countEmptyCellsInColsContainsNum ) / ( numOfOptionsToAppearInBoard  +  countEmptyCellInSquare )) * (( numOfOptionsToAppearInBoard  Max  countEmptyCellsInRows_ThatNotContainsNum ) Min ( countEmptyCellsInSquareContainsNum  *  countEmptyCellsInRows_ThatNotContainsNum ))) + ((( countEmptyCellInRow  /  countEmptyCellsInSquareContainsNum ) + ( countEmptyCellsInRows_ThatNotContainsNum  /  countEmptyCellInRow )) + (( countEmptyCellsInRows_ThatNotContainsNum  -  countEmptyCellsInRowsContainsNum ) % ( countEmptyCellsInSquareContainsNum  Max  numOfOptionsToAppearInBoard )))) * (((( countEmptyCellInCol  -  countEmptyCellsInRowsContainsNum ) * ( countEmptyCellsInCols_ThatNotContainsNum  Min  countEmptyCellInRow )) - (( countEmptyCellsInColsContainsNum  +  countEmptyCellInCol ) - ( countEmptyCellInRow  %  numOfOptionsToAppearInBoard ))) Max ((( countEmptyCellsInCols_ThatNotContainsNum  %  numOfOptionsToAppearInBoard ) % ( countEmptyCellsInRows_ThatNotContainsNum  /  NumOfOptionsInCell )) Max (( NumOfOptionsInCell  +  countEmptyCellInSquare ) * ( countEmptyCellInCol  *  NumOfOptionsInCell ))))),
19,20.0,3.0,11.8,div( Mod( div( Maximum( Minimum( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellInSquare )  Mod( countEmptyCellInSquare  countEmptyCellInRow ) )  Mod( Minus( countEmptyCellInCol  countEmptyCellsInCols_ThatNotContainsNum )  Multi( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellInCol ) ) )  Minimum( Plus( div( countEmptyCellsInColsContainsNum  countEmptyCellInRow )  Mod( countEmptyCellsInRowsContainsNum  numOfOptionsToAppearInBoard ) )  Plus( Plus( numOfOptionsToAppearInBoard  countEmptyCellsInSquare_ThatNotContainsNum )  div( countEmptyCellInRow  numOfOptionsToAppearInBoard ) ) ) )  div( div( Plus( div( countEmptyCellsInRowsContainsNum  numOfOptionsToAppearInBoard )  div( countEmptyCellInCol  NumOfOptionsInCell ) )  div( Plus( countEmptyCellInRow  countEmptyCellsInCols_ThatNotContainsNum )  div( countEmptyCellsInCols_ThatNotContainsNum  NumOfOptionsInCell ) ) )  Maximum( div( Mod( countEmptyCellInCol  countEmptyCellsInRows_ThatNotContainsNum )  Minus( NumOfOptionsInCell  countEmptyCellInSquare ) )  Mod( Multi( countEmptyCellsInSquare_ThatNotContainsNum  numOfOptionsToAppearInBoard )  Mod( countEmptyCellsInRows_ThatNotContainsNum  countEmptyCellsInSquare_ThatNotContainsNum ) ) ) ) ),((((( countEmptyCellsInRows_ThatNotContainsNum  Min  countEmptyCellInSquare ) Max ( countEmptyCellInSquare  %  countEmptyCellInRow )) / (( countEmptyCellInCol  -  countEmptyCellsInCols_ThatNotContainsNum ) % ( countEmptyCellsInRows_ThatNotContainsNum  *  countEmptyCellInCol ))) % ((( countEmptyCellsInColsContainsNum  /  countEmptyCellInRow ) + ( countEmptyCellsInRowsContainsNum  %  numOfOptionsToAppearInBoard )) Min (( numOfOptionsToAppearInBoard  +  countEmptyCellsInSquare_ThatNotContainsNum ) + ( countEmptyCellInRow  /  numOfOptionsToAppearInBoard )))) / (((( countEmptyCellsInRowsContainsNum  /  numOfOptionsToAppearInBoard ) + ( countEmptyCellInCol  /  NumOfOptionsInCell )) / (( countEmptyCellInRow  +  countEmptyCellsInCols_ThatNotContainsNum ) / ( countEmptyCellsInCols_ThatNotContainsNum  /  NumOfOptionsInCell ))) / ((( countEmptyCellInCol  %  countEmptyCellsInRows_ThatNotContainsNum ) / ( NumOfOptionsInCell  -  countEmptyCellInSquare )) Max (( countEmptyCellsInSquare_ThatNotContainsNum  *  numOfOptionsToAppearInBoard ) % ( countEmptyCellsInRows_ThatNotContainsNum  %  countEmptyCellsInSquare_ThatNotContainsNum ))))),
